Wallet Address,Farm 1,Farm 2,Farm 3,Farm 4,Total ArcX Distribution,ArcX Price,Total USDC
0x68f593572402632c724bc2d2fca05e91541269f3,0.20295,0,0,0,0.20295,2500,507.375
0x4ec5b02a9f109d44afa67615a5a2c9a02a77e08b,0.20295,0.18182,0,0,0.38477,2500,961.925
0xf12657e7a1e2320b85b2dd10c5f047eb14f02517,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x5c239132825898bc0047ed8a6b347a8a4ee621eb,0.20295,0.18182,0,0,0.38477,2500,961.925
0x8753bc4c55ae8799a1a7091d0f28ea60c23d8744,0.20295,0.18182,0,0,0.38477,2500,961.925
0x11a661deee632244ebdd936b1784f4fd1cbbe364,0.20295,0,0,0,0.20295,2500,507.375
0x9525603189bc828b3af9de9454a79d9566e6e2fb,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0xe164644e1e8bb14ba8aa19be1b78ec6cf22f7ca8,0.20295,0,0.25316,0.54598,1.00209,2500,2505.225
0x35848fc8cbd1c6032ff441af5520de66eb75bce2,0.20295,0,0,0,0.20295,2500,507.375
0xf5dcb2a47f738d8ba39f9fa2ddc7592f268a262a,0.20295,0.18182,0,0.54598,0.93075,2500,2326.875
0xef9be1ace449eb63622b5c2bd4ee7af3b09dcc60,0.20295,0.18182,0,0,0.38477,2500,961.925
0xba1b1f951ec6eb3c938197f04310951c180d7929,0.20295,0,0,0,0.20295,2500,507.375
0x949b82dfc04558bc4d3ca033a1b194915a3a3bee,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x358de7bae44025257eae6dd2d9774e7cbdbeeeb2,0.20295,0,0,0,0.20295,2500,507.375
0x896b94f4f27f12369698c302e2049cae86936bbb,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0x0ae3e9b076f0fa63a818e73e6b44231908629a9e,0.20295,0.18182,0,0,0.38477,2500,961.925
0xf6ed8ca289b62bf273badfbae3f4dcd915f17f48,0.20295,0.18182,0,0.54598,0.93075,2500,2326.875
0x726cdc837384a7deb8bbea64beba2e7b4d7346c0,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0xab79c9fd6b7b34b24705de49fcb848000f31d858,0.20295,0.18182,0,0.54598,0.93075,2500,2326.875
0x5e8f606ffe877fd9b774223527f0f3f60979daef,0.20295,0,0,0,0.20295,2500,507.375
0x2eff1def3299e0a96c37406e6c4f0261ec29b805,0.20295,0.18182,0.25316,0.54598,1.18391,2500,2959.775
0xe335ea94352a4d9280aef9232b3762c5234380d6,0.20295,0.18182,0,0,0.38477,2500,961.925
0x0a5af714ded4827a0891ef9d2eb89ac84ad15fea,0.20295,0.18182,0,0.54598,0.93075,2500,2326.875
0x166b6770f7513ee4be7a88f7c8d250e5e8bcbfaf,0.20295,0,0,0,0.20295,2500,507.375
0x1df46555484302c19ec69377ab684576e5288560,0.20295,0.18182,0,0,0.38477,2500,961.925
0x316f99537b4bade5eea51073f1b7c38dfbf69a70,0.20295,0.18182,0,0.54598,0.93075,2500,2326.875
0x758c32d2f0b32d3e0ea1e8d0d24696fe9b69d148,0.20295,0,0,0,0.20295,2500,507.375
0x8ca085d6f8111b24f9e3d3584e28726ad3aaa940,0.20295,0,0,0,0.20295,2500,507.375
0x2ec7947f3ac9aaaa44b53640506cdc9d848d9489,0.20295,0,0,0,0.20295,2500,507.375
