Account,Amount,Part,"$7,800,000.00",Total USDC
0x9b616ac1d31f17be9b23560d93699ca7732e2808,78831355674077920,0.000656927963950649,$5124.04,5124.04
0xc9420c9349120ca88d6c349cdf4af038e2ca5027,78349762094333797,0.000652914684119448,$5092.73,5092.73
0x538ded4d0d461206ae8e0c021d5179d3a31d2b12,75819368039310414,0.000631828066994253,$4928.26,4928.26
0x9a49fa38d835248225bf5eb18e7624430518a99d,74122718614957283,0.00061768932179131,$4817.98,4817.98
0x565b93a15d38acd79c120b15432d21e21ed274d6,73793803372797715,0.00061494836143998,$4796.60,4796.60
0x569d4c513673f8a611cf4dde30563498642a8579,71542017257605610,0.000596183477146713,$4650.23,4650.23
0x1fe9fd1156688699f4ca017e72ee0d9873f9d758,70858257116359900,0.000590485475969665,$4605.79,4605.79
0xf7b10d603907658f690da534e9b7dbc4dab3e2d6,62222711163423195,0.000518522593028526,$4044.48,4044.48
0xbb00900b914c71d7cc0d6c8865359499b9d0b3b6,60949300038395175,0.000507910833653293,$3961.70,3961.70
0x36837e2c2893b2d34fa80694b70eb53677aa6d4a,59520942660686525,0.000496007855505721,$3868.86,3868.86
0x33d20f06b0021e9013f39d8f0dca1ff8bae0a15c,57963527800884089,0.0004830293983407,$3767.63,3767.63
0x3bd5e344ac629c9f232f921bafdeeec312deac9b,54040970229450816,0.000450341418578756,$3512.66,3512.66
0x18fd313190a430853db4fc3d2ef37594d7d757c2,50121687941529283,0.000417680732846077,$3257.91,3257.91
0x6ab791754298d6d6d7c182dc1572126b4ed24897,50011871488057179,0.000416765595733809,$3250.77,3250.77
0x18f768455e7f5fb09fc491fd86bcc282bcdd5973,46050637277862194,0.000383755310648851,$2993.29,2993.29
0x8f9be4310f9abb0e5843cc6363908c9b01dfeb3f,43561085126224735,0.000363009042718539,$2831.47,2831.47
0x9581f442075eef408bd5e560cca77fcf598f601e,43478609309421568,0.000362321744245179,$2826.11,2826.11
0xfccba075a3f25208439e8f1a9e00a87fb861e248,43414464838724679,0.000361787206989372,$2821.94,2821.94
0x6916683ab95b955bb73caf8bab92700a2469d758,41523320822803136,0.000346027673523359,$2699.02,2699.02
0x9abbed91fac6e71977258fa8aa949c9bd874f4de,39669288008998086,0.000330577400074984,$2578.50,2578.50
0xd16fda96cb572da89e4e39b04b99d99a8e3071fb,39102837310192474,0.000325856977584937,$2541.68,2541.68
0x9b0c19000a8631c1f555bb365bde308384e4f2ff,36959921659283484,0.000307999347160695,$2402.39,2402.39
0x41015a5e5727032dd9f3d8aab1b7fd2a1d675e99,35500541772519175,0.000295837848104326,$2307.54,2307.54
0x237ec64cc27196f6a4c16abdbb558b4c518400c2,35274582245337897,0.000293954852044482,$2292.85,2292.85
0x7b6d03eda08626bbff1abdf1340b999670e1fc28,33258117023260493,0.000277150975193837,$2161.78,2161.78
0x7088c5611dae159a640d940cde0a3221a4af8896,31571919012824677,0.000263099325106872,$2052.17,2052.17
0x528bad3c22874e8a9bb49689aa876f76f631e07d,31254004769845961,0.000260450039748716,$2031.51,2031.51
0xb14cf9b14db20b0b6a964d0ee7f60894e1f186dd,30020249081235113,0.000250168742343625,$1951.32,1951.32
0xa6b49397ce21bb62200e914f41bf371e5940bb41,29049957898069874,0.000242082982483915,$1888.25,1888.25
0x7e4f1a12269c55d23c50e91017876d8a0b2ef14c,29019665016942316,0.000241830541807852,$1886.28,1886.28
0xf0f32c3c8def7b43caa14fed5752abc5381c8374,28952605723806196,0.000241271714365051,$1881.92,1881.92
0x9b3f49a186670194f625199b822fcbdfd3feacf7,27202733818436902,0.000226689448486974,$1768.18,1768.18
0x2fe55b3352c06c11ca7ecf7b38bd2104ee5434d3,26388094286485762,0.000219900785720714,$1715.23,1715.23
0xfc436651f2fd4885ad645035a63a7cd22e6a868c,26358037542650991,0.000219650312855424,$1713.27,1713.27
0xca41730a221aa83d2849be36163dc301d0f053a8,25721963452895035,0.000214349695440791,$1671.93,1671.93
0x0154d25120ed20a516fe43991702e7463c5a6f6e,24697334744017034,0.000205811122866808,$1605.33,1605.33
0x776f8b9c6a6ea638362e5038c7b4cff79f21d4f7,22366754571547930,0.000186389621429566,$1453.84,1453.84
0xb9b8ef61b7851276b0239757a039d54a23804cbb,21763535714983000,0.000181362797624858,$1414.63,1414.63
0x54543587cd0412d6ea0e852eb62177bc9306a6db,21266442854320180,0.000177220357119334,$1382.32,1382.32
0xfbdd5c349d1686d7b15b27f47217c55fe93d2bfc,21003595501207364,0.000175029962510061,$1365.23,1365.23
0x64b55f553a7648e8bcc1bd99136708d3f37917c5,20542154377522950,0.000171184619812691,$1335.24,1335.24
0x671dd102d1b9adfd54fd365769afc37705a3ce68,19531098866405623,0.000162759157220046,$1269.52,1269.52
0x336d4afd4c1e0b82a2bb38859c234c54edf0a983,17923880156362007,0.000149365667969683,$1165.05,1165.05
0x2fed28677601cf6cb669a3ce424119bb1ba69ec0,17275994585768211,0.000143966621548068,$1122.94,1122.94
0xf57d86f6bfcc76aa2c7f62616b2436c60ad397e2,17174487731360027,0.000143120731094666,$1116.34,1116.34
0xd1a059ae2ea4e6f4329dbd54a71a8ccf5d888d6b,17053524980956119,0.000142112708174634,$1108.48,1108.48
0x76cea8d9d3817fe361e1c1d32081f7c1ddb6aaae,15884685237992682,0.000132372376983272,$1032.50,1032.50
0x44c51816d2b75cbd5cf63b2c8107e6f8d9a39529,15523973166623482,0.000129366443055195,$1009.06,1009.06
0x57a0575339b2a3559ee840853bd932050aad9266,15483082250564625,0.000129025685421371,$1006.40,1006.40
0xaf34feac2fb7449b745bc79046ad0cecd8bc159d,15104165779245184,0.000125868048160376,$981.77,981.77
0x9e7943ceac1f02b00e5f9d6e182f257efaa4653e,14478574018838662,0.000120654783490322,$941.11,941.11
